,index,entity_name,model_output
0,0,height,2.68 cm
1,1,width,The width of the item is 15.5 cm.
2,2,height,200mm
3,3,depth,20cm
4,4,depth,10.5 inches
5,5,height,10.5 inches
6,6,width,10.5 inches
7,7,height,5.5 Screw
8,8,width,30 cm
9,9,height,15 cm
10,10,item_weight,1 TB
11,11,width,139.5cm
12,12,depth,4.3 in
13,13,height,4.3 inches
14,14,width,4.3 in
15,15,item_weight,9 lbs.
16,16,maximum_weight_recommendation,100g
17,17,item_weight,The image does not provide any information about the item_weight.
18,18,wattage,208-240V 16A 60Hz
19,19,voltage,208-240V
20,20,width,55cm
21,21,width,"10"""
22,22,item_volume,15 ml
23,23,width,32 cm
24,24,depth,32 cm
25,25,width,3.8 in
26,26,depth,3.8 in
27,27,item_weight,The image does not provide the item_weight of the item.
28,28,item_weight,0.69kg
29,29,item_weight,2.62 lbs
30,30,item_weight,The image does not provide the item_weight of the knife.
31,31,item_weight,The image does not provide the item_weight of the item.
32,32,width,5.8 in
33,33,depth,5.8 in
34,34,height,5.8 in
35,35,item_weight,3 lbs
36,36,height,"36-72"" (101.94 cm)"
37,37,voltage,48V
38,38,wattage,400W
39,39,depth,120 cm
40,40,width,47.2 in
41,41,height,"9"""
42,42,width,48 in
43,43,height,96 in
44,44,height,60 cm
45,45,depth,5.8 in
46,46,height,5.8 in
47,47,width,5.8 in
48,48,width,47 in
49,49,depth,120 cm
50,50,height,90 cm
51,51,item_weight,"200mm / 8"""
52,52,wattage,"200mm / 8"""
53,53,depth,7.56 in
54,54,height,7.56 in
55,55,width,96.52cm
56,56,item_weight,8TB
57,57,depth,120 cm
58,58,width,47.2 in
59,59,wattage,3.48 watts
60,60,voltage,3.6V
61,61,item_weight,12 OZ.
62,62,height,200mm
63,63,depth,200mm
64,64,width,200mm
65,65,voltage,"10.440V

I used the Chain of Thought (CoT) method to analyze the image and identify the voltage of the item. The text on the battery reads ""Li-ion 10.440 1000mAh 3.7V."" The voltage value is clearly stated as ""3.7V"" at the end of the text."
66,66,item_weight,1.92TB
67,67,height,11.5cm
68,68,width,4.2 in
69,69,height,4.2 in
70,70,depth,4.2 in
71,71,width,23 cm
72,72,height,9.1 in
73,73,depth,23 cm
74,74,wattage,1500W
75,75,voltage,1500W
76,76,height,4.7 in
77,77,depth,3.1 in
78,78,item_weight,The item weight is not provided in the image.
79,79,height,50cm
80,80,item_weight,The image does not provide any information regarding the item_weight.
81,81,maximum_weight_recommendation,243 LBS
82,82,item_weight,11.1 lb / 5.05 kg
83,83,item_weight,10 OZ (283g)
84,84,height,39 in
85,85,width,39 in
86,86,depth,39 in
87,87,wattage,The image does not provide any information about wattage. It shows a scale indicating the relationship between CFM (Cubic Feet per Minute) and air movement.
88,88,voltage,The image does not provide a voltage value. It shows a scale indicating the relationship between CFM (Cubic Feet per Minute) and air movement.
89,89,item_weight,120 CFM
90,90,width,26 cm
91,91,maximum_weight_recommendation,200LB 90.7 KG
92,92,width,500 mm
93,93,height,"23.95"""
94,94,item_weight,3 Pack
95,95,height,12.5cm
96,96,width,14cm
97,97,voltage,9.6V
98,98,height,23.5 cm
99,99,depth,4.33 in / 11 cm
100,100,height,37in
101,101,item_volume,2 fl oz (59 ml)
102,102,wattage,The image does not provide any information about the wattage of the item.
103,103,width,62 cm
104,104,height,69 cm
105,105,height,15cm
106,106,width,16cm
107,107,height,74 cm
108,108,item_weight,8 OZ (227g)
109,109,height,40 cm
110,110,height,8 cm
111,111,item_weight,10 DL (284g)
112,112,wattage,1650W
113,113,item_weight,The item weight is 1650W.
114,114,item_weight,The image does not provide the item_weight of the item.
115,115,wattage,2000W
116,116,item_weight,11.5 OZ
117,117,item_weight,7.50 oz (mg)
118,118,width,3.9 in
119,119,depth,3.9 in
120,120,item_weight,13.5 oz
121,121,depth,31 cm
122,122,item_weight,250g
123,123,maximum_weight_recommendation,660 lbs
124,124,item_weight,2.37kg
125,125,item_weight,12V
126,126,voltage,12V
127,127,height,191 cm
128,128,width,180 cm
129,129,item_weight,7.8 lbs
130,130,width,31 cm
131,131,width,25.6in (65cm)
132,132,height,25.6 inches (65 cm)
133,133,depth,25.6 inches (65 cm)
134,134,maximum_weight_recommendation,50lbs per seat
135,135,height,20.0 cm
136,136,depth,2.9 cm
137,137,height,26cm
138,138,height,29.95 cm
139,139,width,100mm
140,140,depth,11.5mm
141,141,height,14cm
142,142,depth,33 in
143,143,width,33 in
144,144,depth,10cm
145,145,height,90cm/35.4in
146,146,width,10cm
147,147,item_volume,1.5 FL OZ
148,148,width,50cm
149,149,depth,50cm
150,150,item_weight,64g
151,151,height,90cm
152,152,depth,3.14 in
153,153,height,7.86 in / 20 cm
154,154,width,10cm
155,155,height,5cm
156,156,width,35mm
157,157,width,"74"""
158,158,height,"30.3"""
159,159,item_weight,2.31 lb
160,160,height,25*13cm
161,161,item_volume,32 fl oz
162,162,height,82cm
163,163,width,"76"""
164,164,item_weight,250g
165,165,voltage,220V
166,166,wattage,250W
167,167,item_weight,6KG
168,168,width,D10.5cm
169,169,depth,D10.5cm
170,170,item_weight,The item weight is not explicitly mentioned in the image.
171,171,height,"33.1"""
172,172,item_weight,34 IN
173,173,width,1.1 in / 3.0 cm
